frame,raw_render_area_px,visible_object_area_px,raw_overlap_px,raw_overlap_precision,final_changed_area_px,final_overlap_px,final_overlap_precision,clip_to_visible_object,respect_human_occlusion,used_visible_line_fallback
1,1864,,,,2977,,,0,0,0
2,1841,,,,2940,,,0,0,0
3,1870,,,,2904,,,0,0,0
4,1840,,,,2881,,,0,0,0
5,1874,,,,2943,,,0,0,0
6,1869,,,,2948,,,0,0,0
7,1843,,,,2927,,,0,0,0
8,1879,,,,2958,,,0,0,0
9,1862,,,,2916,,,0,0,0
10,1857,,,,2912,,,0,0,0
11,1856,,,,2924,,,0,0,0
12,1891,,,,2960,,,0,0,0
13,1859,,,,2968,,,0,0,0
14,1843,,,,2938,,,0,0,0
15,1845,,,,3042,,,0,0,0
16,1777,,,,2921,,,0,0,0
17,1703,,,,2756,,,0,0,0
18,1639,,,,2707,,,0,0,0
19,1563,,,,2584,,,0,0,0
20,1434,,,,2525,,,0,0,0
21,1328,,,,2318,,,0,0,0
22,1238,,,,2017,,,0,0,0
23,1180,,,,1868,,,0,0,0
24,1102,,,,1832,,,0,0,0
25,1141,,,,1790,,,0,0,0
26,1222,,,,1730,,,0,0,0
27,1335,,,,1857,,,0,0,0
28,1409,,,,1996,,,0,0,0
29,1509,,,,2197,,,0,0,0
30,1640,,,,2437,,,0,0,0
31,1740,,,,2701,,,0,0,0
32,1752,,,,2789,,,0,0,0
33,1796,,,,2775,,,0,0,0
34,1783,,,,2644,,,0,0,0
35,1775,,,,2623,,,0,0,0
36,1719,,,,2479,,,0,0,0
37,1649,,,,2369,,,0,0,0
38,1572,,,,2251,,,0,0,0
39,1487,,,,2253,,,0,0,0
40,1382,,,,2387,,,0,0,0
41,1317,,,,2281,,,0,0,0
42,1268,,,,2212,,,0,0,0
43,1265,,,,1929,,,0,0,0
44,1305,,,,1833,,,0,0,0
45,1300,,,,1965,,,0,0,0
46,1415,,,,2283,,,0,0,0
47,1502,,,,2458,,,0,0,0
48,1558,,,,2596,,,0,0,0
49,1646,,,,2650,,,0,0,0
50,1645,,,,2709,,,0,0,0
51,1653,,,,2741,,,0,0,0
52,1670,,,,2815,,,0,0,0
53,1656,,,,2768,,,0,0,0
54,1551,,,,2655,,,0,0,0
55,1539,,,,2618,,,0,0,0
56,1457,,,,2554,,,0,0,0
57,1396,,,,2247,,,0,0,0
58,1335,,,,2316,,,0,0,0
59,1335,,,,2338,,,0,0,0
60,1339,,,,2352,,,0,0,0
61,1374,,,,2397,,,0,0,0
62,1395,,,,2429,,,0,0,0
63,1483,,,,2636,,,0,0,0
64,1546,,,,2747,,,0,0,0
65,1584,,,,2750,,,0,0,0
66,1624,,,,2764,,,0,0,0
67,1638,,,,2761,,,0,0,0
68,1677,,,,2810,,,0,0,0
69,1660,,,,2772,,,0,0,0
70,1656,,,,2704,,,0,0,0
71,1644,,,,2595,,,0,0,0
72,1594,,,,2466,,,0,0,0
73,1542,,,,2185,,,0,0,0
74,1497,,,,2108,,,0,0,0
75,1421,,,,2070,,,0,0,0
76,1404,,,,2384,,,0,0,0
77,1359,,,,2288,,,0,0,0
78,1294,,,,2214,,,0,0,0
79,1305,,,,1833,,,0,0,0
80,1294,,,,2100,,,0,0,0
81,1313,,,,2466,,,0,0,0
82,1403,,,,2376,,,0,0,0
83,1436,,,,2452,,,0,0,0
84,1476,,,,2498,,,0,0,0
85,1547,,,,2587,,,0,0,0
86,1565,,,,2650,,,0,0,0
87,1568,,,,2716,,,0,0,0
88,1614,,,,2750,,,0,0,0
89,1554,,,,2609,,,0,0,0
90,1556,,,,2600,,,0,0,0
91,1506,,,,2638,,,0,0,0
92,1552,,,,2735,,,0,0,0
93,1474,,,,2611,,,0,0,0
94,1424,,,,2609,,,0,0,0
95,1415,,,,2019,,,0,0,0
96,1384,,,,2285,,,0,0,0
97,1358,,,,2351,,,0,0,0
98,1347,,,,2341,,,0,0,0
99,1375,,,,2345,,,0,0,0
100,1404,,,,2413,,,0,0,0
101,1462,,,,2599,,,0,0,0
102,1491,,,,2648,,,0,0,0
103,1495,,,,2664,,,0,0,0
104,1534,,,,2717,,,0,0,0
105,1541,,,,2644,,,0,0,0
106,1546,,,,2615,,,0,0,0
107,1595,,,,2620,,,0,0,0
108,1610,,,,2539,,,0,0,0
109,1634,,,,2415,,,0,0,0
110,1639,,,,2316,,,0,0,0
111,1619,,,,2384,,,0,0,0
112,1576,,,,2463,,,0,0,0
113,1562,,,,2527,,,0,0,0
114,1568,,,,2518,,,0,0,0
115,1538,,,,2447,,,0,0,0
116,1578,,,,2406,,,0,0,0
117,1604,,,,2496,,,0,0,0
118,1621,,,,2491,,,0,0,0
119,1638,,,,2513,,,0,0,0
120,1642,,,,2587,,,0,0,0
121,1673,,,,2632,,,0,0,0
122,1663,,,,2672,,,0,0,0
123,1685,,,,2775,,,0,0,0
124,1686,,,,2704,,,0,0,0
125,1685,,,,2738,,,0,0,0
126,1755,,,,2854,,,0,0,0
127,1820,,,,2988,,,0,0,0
128,1828,,,,3034,,,0,0,0
129,1832,,,,3011,,,0,0,0
130,1807,,,,2948,,,0,0,0
131,1814,,,,2922,,,0,0,0
132,1720,,,,2787,,,0,0,0
133,1770,,,,2801,,,0,0,0
134,1717,,,,2753,,,0,0,0
135,1726,,,,2684,,,0,0,0
136,1749,,,,2720,,,0,0,0
137,1705,,,,2668,,,0,0,0
138,1686,,,,2636,,,0,0,0
139,1648,,,,2610,,,0,0,0
140,1625,,,,2579,,,0,0,0
141,1595,,,,2532,,,0,0,0
142,1629,,,,2588,,,0,0,0
143,1616,,,,2575,,,0,0,0
144,1609,,,,2530,,,0,0,0
145,1558,,,,2500,,,0,0,0
146,1548,,,,2536,,,0,0,0
147,1488,,,,2488,,,0,0,0
148,1519,,,,2574,,,0,0,0
149,1572,,,,2609,,,0,0,0
150,1563,,,,2539,,,0,0,0
151,1574,,,,2592,,,0,0,0
152,1554,,,,2526,,,0,0,0
153,1550,,,,2512,,,0,0,0
154,1502,,,,2450,,,0,0,0
155,1463,,,,2449,,,0,0,0
156,1481,,,,2402,,,0,0,0
157,1475,,,,2395,,,0,0,0
158,1433,,,,2324,,,0,0,0
159,1421,,,,2338,,,0,0,0
160,1453,,,,2303,,,0,0,0
161,1333,,,,2443,,,0,0,0
162,1423,,,,2581,,,0,0,0
163,1392,,,,2568,,,0,0,0
164,1396,,,,2535,,,0,0,0
165,1419,,,,2554,,,0,0,0
166,1389,,,,2527,,,0,0,0
167,1427,,,,2574,,,0,0,0
168,1408,,,,2529,,,0,0,0
169,1416,,,,2555,,,0,0,0
170,1404,,,,2534,,,0,0,0
171,1383,,,,2527,,,0,0,0
172,1391,,,,2513,,,0,0,0
173,1389,,,,2499,,,0,0,0
174,1376,,,,2465,,,0,0,0
175,1362,,,,2455,,,0,0,0
176,1354,,,,2420,,,0,0,0
177,1371,,,,2438,,,0,0,0
178,1335,,,,2428,,,0,0,0
179,1346,,,,2428,,,0,0,0
180,1349,,,,2439,,,0,0,0
181,1324,,,,2424,,,0,0,0
182,1350,,,,2449,,,0,0,0
183,1336,,,,2450,,,0,0,0
184,1361,,,,2487,,,0,0,0
185,1352,,,,2482,,,0,0,0
186,1356,,,,2498,,,0,0,0
187,1348,,,,2488,,,0,0,0
188,1348,,,,2487,,,0,0,0
189,1358,,,,2514,,,0,0,0
190,1360,,,,2487,,,0,0,0
191,1347,,,,2483,,,0,0,0
192,1366,,,,2535,,,0,0,0
193,1382,,,,2520,,,0,0,0
194,1358,,,,2497,,,0,0,0
195,1360,,,,2510,,,0,0,0
196,1380,,,,2489,,,0,0,0
197,1357,,,,2500,,,0,0,0
198,1375,,,,2488,,,0,0,0
199,1366,,,,2468,,,0,0,0
200,1354,,,,2451,,,0,0,0
201,1360,,,,2457,,,0,0,0
202,1385,,,,2476,,,0,0,0
203,1368,,,,2444,,,0,0,0
204,1370,,,,2452,,,0,0,0
205,1340,,,,2404,,,0,0,0
206,1343,,,,2415,,,0,0,0
207,1400,,,,2467,,,0,0,0
208,1422,,,,2511,,,0,0,0
209,1394,,,,2489,,,0,0,0
210,1395,,,,2497,,,0,0,0
211,1389,,,,2499,,,0,0,0
212,1401,,,,2524,,,0,0,0
213,1449,,,,2574,,,0,0,0
214,1404,,,,2526,,,0,0,0
215,1428,,,,2578,,,0,0,0
216,1479,,,,2612,,,0,0,0
217,1455,,,,2614,,,0,0,0
218,1458,,,,2624,,,0,0,0
219,1451,,,,2621,,,0,0,0
220,1483,,,,2676,,,0,0,0
221,1520,,,,2691,,,0,0,0
222,1493,,,,2707,,,0,0,0
223,1495,,,,2715,,,0,0,0
224,1506,,,,2708,,,0,0,0
225,1517,,,,2702,,,0,0,0
226,1520,,,,2684,,,0,0,0
227,1574,,,,2735,,,0,0,0
228,1580,,,,2751,,,0,0,0
