frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
1,0.000000,513.500,390.500,513.988,387.616,513.988,387.616,center,center,515.000,428.573,433.850,38.073,40.958,bottom_percentile_95,509.777,349.742,human_nearest_mesh_topk,2.607849,2.642725,0.034877,1.000000,0.000000,0.765372,0.320824,0.320824,0.854816,5.988236,2.285000,5.000000,8.000000,right_hand,0.765372,505.904,338.512,3.667256,boundary_003,2.607968,2.681067,2.607849,2.607849,0.320824,5.276619,0.000000,0.174823
2,0.041667,514.167,384.082,513.864,383.688,513.864,383.688,center,center,516.000,424.707,424.000,40.625,41.019,bottom_percentile_95,511.200,341.260,human_nearest_mesh_topk,2.643286,2.695628,0.052342,1.000000,0.304751,0.905911,0.919367,0.919367,0.972487,1.134792,1.845000,5.000000,8.000000,right_hand,0.905911,507.268,338.256,3.663545,boundary_004,2.677267,2.691532,2.672280,2.643286,0.919367,0.706671,0.000000,0.233097
3,0.083333,514.694,382.633,514.675,383.316,514.675,383.316,center,center,516.000,424.535,423.000,41.902,41.219,bottom_percentile_95,507.509,341.863,human_nearest_mesh_topk,2.684907,2.757700,0.072793,0.861791,0.014997,0.948132,0.554033,0.554033,0.873737,5.207827,1.967000,5.000000,8.000000,right_hand,0.948132,507.845,339.935,3.660486,boundary_004,2.724858,2.669402,2.718961,2.684907,0.554033,1.535414,0.000000,0.174823
4,0.125000,516.095,385.087,516.390,384.823,516.390,384.823,center,center,519.500,426.381,426.850,41.294,41.558,bottom_percentile_95,510.871,343.235,human_nearest_mesh_topk,2.698723,2.718740,0.020017,0.871266,0.717453,0.949831,0.405620,0.405620,0.868763,5.413000,0.111000,5.000000,8.000000,right_hand,0.949831,508.240,345.068,3.669440,boundary_003,2.714178,2.664412,2.710027,2.698723,0.405620,0.468905,0.000000,0.116548
5,0.166667,519.269,393.824,519.083,394.816,519.083,394.816,center,center,527.000,437.372,441.000,43.548,42.556,bottom_percentile_95,508.873,356.685,human_nearest_mesh_topk,2.711986,2.730234,0.018247,0.875538,0.000000,0.941903,0.000000,0.100000,1.000000,0.000000,5.302000,5.000000,8.000000,right_hand,0.941903,508.515,356.147,3.685719,boundary_004,2.733392,2.692018,2.722838,2.711986,0.000000,3.627724,0.178868,0.000000
6,0.208333,521.670,420.095,521.471,420.413,521.471,420.413,center,center,521.000,463.211,463.000,43.116,42.798,bottom_percentile_95,515.026,376.270,human_nearest_mesh_topk,2.622873,2.569279,-0.053594,0.855092,0.000000,0.861841,0.207589,0.207589,1.000000,0.000000,1.031000,5.000000,8.000000,right_hand,0.861841,511.078,372.820,3.706092,boundary_002,2.558751,2.654066,2.549962,2.622873,0.207589,0.211200,0.199919,0.000000
7,0.250000,522.923,462.126,523.039,461.061,523.039,461.061,center,center,523.000,503.996,504.000,41.870,42.935,bottom_percentile_95,523.392,409.313,human_nearest_mesh_topk,2.627793,2.585136,-0.042657,0.825173,0.000000,0.685147,1.000000,0.825173,1.000000,0.000000,1.031000,5.000000,8.000000,right_hand,0.685147,515.495,395.119,3.749129,boundary_000,2.634469,2.618466,2.631819,2.627793,1.000000,0.003571,0.145987,0.000000
8,0.291667,524.976,514.434,525.441,522.464,525.441,522.464,center,center,530.000,565.060,558.000,50.626,42.596,bottom_percentile_95,521.169,479.862,human_nearest_mesh_topk,2.723716,5.161080,2.437364,0.865297,0.000000,0.181739,0.000000,0.100000,1.000000,0.000000,0.661000,5.000000,8.000000,right_hand,0.181739,520.223,410.897,3.786225,boundary_000,2.801210,2.591195,2.802198,2.723716,0.000000,7.060114,0.000000,0.466492
9,0.333333,529.148,583.961,527.711,572.811,527.711,572.811,center,center,530.000,614.997,623.850,31.036,42.186,bottom_percentile_95,549.484,619.154,human_nearest_mesh_topk,2.551272,2.443723,-0.107549,0.860338,0.000000,0.579706,0.000000,0.100000,0.000000,66.650328,1.985000,5.000000,8.000000,right_foot,0.579706,555.454,641.496,4.103007,boundary_035,2.411601,2.574700,2.410181,2.551272,0.000000,8.852533,1.000000,0.699737
10,0.375000,528.421,601.546,528.798,586.651,528.798,586.651,center,center,531.000,628.401,644.850,26.855,41.750,bottom_percentile_95,552.493,637.307,human_nearest_mesh_topk,2.509030,2.517279,0.008248,0.872949,0.000000,0.871438,0.000000,0.100000,0.000000,84.219460,2.002000,5.000000,8.000000,right_foot,0.871438,557.305,641.469,4.109464,boundary_041,2.475661,2.600945,2.474469,2.509030,0.000000,16.448810,1.000000,0.932983
