frame,time,refined_time,source,evidence,event_type,interaction_mode,contact_quality,impact,relevant,target_entity,contact_target,contact_constraint,object_local_x,object_local_y,object_local_z,semantic_contact_part,vlm_hand_part,vlm_handle_contact,vlm_rim_contact,vlm_constraint,vlm_object_conf,contact_state,interval_id,stable_entity,manip_gamma,manip_weight,promote_anchor,allow_slide,audio_support,confidence
3,0.08,0.18,audio,audio,rattle,repetitive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,0,right_hand,1.0,0.5,0,0,0.017,0.88
11,0.416,0.4151,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.39,0.88
18,0.7083,0.5567,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,1,right_hand,1.0,0.5,0,0,0.236,0.88
24,0.952,0.9517,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.442,0.88
32,1.2917,1.1351,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,2,right_hand,1.0,0.5,0,0,0.135,0.88
37,1.484,1.4984,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.481,0.88
42,1.728,1.6217,audio+visual,audio+visual,bounce,repetitive,hard,hard,1,right_hand,part,point,,,,,,,,,,direct_contact,3,right_hand,1.0,1.0,1,0,0.279,0.88
51,2.088,2.0817,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.461,0.88
59,2.4167,2.3701,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,4,right_hand,1.0,0.5,0,0,0.185,0.88
64,2.632,2.6284,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.521,0.88
72,2.9583,2.8217,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,5,right_hand,1.0,0.5,0,0,0.145,0.88
77,3.16,3.1501,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.42,0.88
83,3.4167,3.3351,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,6,right_hand,1.0,0.5,0,0,0.168,0.88
89,3.656,3.6451,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.384,0.88
96,3.9583,3.8267,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,7,right_hand,1.0,0.5,0,0,0.161,0.88
100,4.144,4.1284,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.393,0.88
108,4.4583,4.3517,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,8,right_hand,1.0,0.5,0,0,0.186,0.88
114,4.688,4.6767,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.427,0.88
121,5.0,4.8584,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,9,right_hand,1.0,0.5,0,0,0.187,0.88
126,5.224,5.2167,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.36,0.88
133,5.5,5.3634,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,10,right_hand,1.0,0.5,0,0,0.187,0.88
138,5.704,5.6967,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.449,0.88
144,5.9583,5.8917,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,11,right_hand,1.0,0.5,0,0,0.162,0.7
149,6.184,6.1751,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.439,0.88
157,6.5,6.4484,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,12,right_hand,1.0,0.5,0,0,0.155,0.88
162,6.688,6.6867,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.363,0.88
169,7.0,6.9734,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,13,right_hand,1.0,0.5,0,0,0.14,0.88
174,7.228,7.2167,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.424,0.88
180,7.4583,7.3567,visual,visual,tap,impulsive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,14,right_hand,1.0,0.5,0,0,0.192,0.88
188,7.784,7.7801,audio,audio,bounce,repetitive,hard,hard,1,support,support,point,,,,,,,,,,transient_support,-1,support,1.0,1.0,0,0,0.347,0.88
192,7.984,7.8317,audio,audio,rattle,repetitive,soft,medium,1,right_hand,part,point,,,,,,,,,,direct_contact,15,right_hand,1.0,0.5,0,0,0.348,0.88
